Address,Price,Bathrooms,Bedrooms,Area,Property Type
"Falcon Complex, Lahore",3.5 Crore,3,3,12 marla,residential
"DHA Phase 2, Islamabad",6 Crore,5,5,10 marla,residential
"Johar Town, Lahore",76.88 Lac,0,0,615 sqft,commercial
"Bani Gala, Islamabad",3.5 Crore,4,4,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.15 Crore,0,0,480 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",50 Lac,0,0,120 sqft,commercial
"Gulberg 3, Lahore",32 Crore,0,0,2 kanal,commercial
"Bahria Town Phase 8, Rawalpindi",2.05 Crore,3,3,5 marla,residential
"Snober City, Rawalpindi",1.55 Crore,4,4,5 marla,residential
"Adyala Road, Rawalpindi",1.4 Crore,0,0,173 sqft,commercial
"Jubilee Town, Lahore",60 Lac,2,2,700 sqft,residential
"Murree Expressway, Islamabad",1.56 Crore,0,0,384 sqft,commercial
"Bahria Town Phase 8, Sector J, Rawalpindi",3.75 Crore,5,6,10 marla,residential
"Bani Gala, Islamabad",9 Crore,5,5,2 kanal,residential
"Johar Town, Lahore",2.25 Crore,4,4,5 marla,residential
"Bahria Town Phase 7, Rawalpindi",48 Lac,0,0,150 sqft,commercial
"Phase 8, Bahria Town, Sector A, , Rawalpindi",4.6 Crore,5,6,10 marla,residential
"Bahria Enclave, Islamabad",2.3 Crore,3,2,5 marla,residential
"Bahria Town Phase 8, Block Ali, Rawalpindi",2.5 Crore,4,5,7 marla,residential
"Bahria Town Phase 8-Khalid Block, Rawalpindi",4.3 Crore,5,6,10 marla,residential
"Jubilee Town, Lahore",60 Lac,2,2,700 sqft,residential
"I-8 Markaz, Islamabad",12.5 Crore,0,0,2700 sqft,commercial
"DHA Town Phase 9, Lahore",2.84 Crore,3,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.1 Crore,3,3,5 marla,residential
"Adyala Road, Rawalpindi",56 Lac,0,0,110 sqft,commercial
"TopCity-1 , Islamabad",3 Crore,0,0,590 sqft,commercial
"LDA Avenue Phase 1, Lahore",3.8 Crore,5,6,10 marla,residential
"Gulberg, Lahore",20 Crore,0,2,25 marla,commercial
"Adyala Road, Rawalpindi",28 Lac,0,0,45 sqft,commercial
"Bahria Enclave, Sector I, Islamabad",2.25 Crore,3,3,5 marla,residential
"DHA Homes, Islamabad",1.66 Crore,3,3,8 marla,residential
"Ichra, Lahore",1.2 Crore,0,0,528 sqft,commercial
"Lehtrar Road, Islamabad",1.45 Crore,0,0,1.54 marla,commercial
"DHA Phase 2, Islamabad",9.5 Crore,5,5,1 kanal,residential
"LDA Avenue Phase 1, Lahore",3.25 Crore,5,6,10 marla,residential
"Johar Town, Lahore",3.08 Crore,0,0,615 sqft,commercial
"Walton Road, Lahore",42000,0,0,4 marla,commercial
"DHA Phase 4, Lahore",6.6 Crore,5,5,1 kanal,residential
"Bahria Town Phase 4, Islamabad",5.2 Crore,5,6,10 marla,residential
"Jubilee Town, Lahore",60 Lac,2,2,700 sqft,residential
"Bahria Town Phase 8, Block Umer, Rawalpindi",2.8 Crore,4,5,7 marla,residential
"Bani Gala, Islamabad",80 Lac,3,3,5 marla,residential
"Jinnah Garden Phase 1, Islamabad",3.25 Crore,4,5,7 marla,residential
"Phase 8, Bahria Town, Sector A, , Rawalpindi",4.5 Crore,5,6,10 marla,residential
